session_id,correct Q1,correct Q2,correct Q3,correct Q4,correct Q5,correct Q6,correct Q7,correct Q8,correct Q9,correct Q10,correct Q11,correct Q12,correct Q13,correct Q14,correct Q15,correct Q16,correct Q17,correct Q18
20100011274731204_q1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1
20100011290663880_q1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
20100011394713344_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
20100011571871700_q1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1
20100012014517956_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100012035069724_q1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
20100012363755750_q1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
20100012471966900_q1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1
20100012492111156_q1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1
20100012495345730_q1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1
20100012523954740_q1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1
20100012540000424_q1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1
20100012562027690_q1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1
20100013054800856_q1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1
20100013062325450_q1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
20100013123715416_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
20100013473331852_q1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1
20100013511751244_q1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1
20100014024611770_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
20100014035994700_q1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1
20100014151142000_q1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
20100014154454230_q1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1
20100014211946468_q1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
20100014511488036_q1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1
20100015040218188_q1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
20100015125877780_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20100015283382064_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
20100015580955656_q1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1
20100015595709668_q1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1
20100016032214516_q1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1
20100016060832892_q1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
20100016070249504_q1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1
20100016190952620_q1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1
20100016263918300_q1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
20100016265132170_q1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1
20100017041691464_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
20100017174504320_q1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1
20100017221780384_q1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20100017254481760_q1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1
20100017263056424_q1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1
20100017310338576_q1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1
20100018164106616_q1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1
20100018271998800_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20100018303409816_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
20100018421509572_q1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1
20100019111032050_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
20100019210476400_q1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
20100019232709284_q1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1
20100019573083920_q1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1
20100020002294336_q1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
20100020040089776_q1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1
20100020122406090_q1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
20100020201084828_q1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
20100020201560770_q1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1
20100020512263948_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100021100648030_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
20100022495909980_q1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1
20100023124078624_q1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1
20100023464644676_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
20100106475056520_q1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
20100107064152736_q1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
20100107145631690_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
20100107482652664_q1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
20100107485528388_q1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100107574055690_q1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
20100108074945404_q1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
20100108173056344_q1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1
20100108204085468_q1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
20100108233796816_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20100108361406030_q1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
20100108383025864_q1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1
20100108394183868_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
20100108401566970_q1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
20100108432199556_q1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
20100108440880468_q1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
20100108444190744_q1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1
20100108470637852_q1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1
20100108492847064_q1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1
20100108495321150_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
20100108534216284_q1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
20100108555032970_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
20100108562170828_q1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
20100108574283104_q1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
20100108581646460_q1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1
20100108591155856_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20100109004299012_q1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1
20100109034836400_q1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1
20100109102870652_q1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1
20100109151447104_q1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1
20100109162353624_q1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1
20100109172665050_q1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1
20100109184696350_q1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20100109251233292_q1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
20100109284899504_q1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1
20100109301649708_q1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1
20100109343643120_q1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1
20100109380136844_q1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
20100109431710736_q1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
20100109441471076_q1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1
20100109452581744_q1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1
20100109470804544_q1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20100109514699030_q1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
20100109594661570_q1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1
20100109595390890_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20100110025276096_q1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1
20100110044069460_q1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1
20100110073981440_q1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1
20100110082132976_q1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1
20100110093663916_q1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
20100110125009530_q1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
20100110144313116_q1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1
20100110164955216_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
20100110165348344_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
20100110175762076_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100110182910332_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
20100110184862076_q1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1
20100110185256384_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20100110203815060_q1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1
20100110204440016_q1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1
20100110240923344_q1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1
20100110244127932_q1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1
20100110282243428_q1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1
20100110283943724_q1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1
20100110292895384_q1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1
20100110312175628_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
20100110332615344_q1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
20100110373886400_q1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1
20100110411908996_q1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1
20100110453807850_q1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
20100110472592492_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
20100110484589160_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
20100110522225750_q1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
20100110531537424_q1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
20100110555341692_q1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
20100110593116576_q1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1
20100111014855890_q1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1
20100111065473908_q1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
20100111072863550_q1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1
20100111111155972_q1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
20100111112073250_q1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
20100111131264296_q1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1
20100111134157064_q1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100111134429080_q1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1
20100111144224450_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
20100111185347184_q1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1
20100111262209730_q1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1
20100111274378384_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20100111275626830_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
20100111290365256_q1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
20100111293440890_q1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
20100111315145150_q1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
20100111331202868_q1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1
20100111342055230_q1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
20100111354105336_q1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
20100111373695984_q1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
20100111374821010_q1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1
20100111383889904_q1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20100111434701724_q1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20100111460520910_q1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
20100111474022764_q1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
20100111500632376_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
20100111520459320_q1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
20100111522448010_q1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100111522598640_q1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
20100112052121604_q1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
20100112063078976_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
20100112065025580_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
20100112092206028_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
20100112114654810_q1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
20100112115368144_q1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
20100112122350730_q1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1
20100112123609416_q1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
20100112152091080_q1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1
20100112190353960_q1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1
20100112214738060_q1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1
20100112225395480_q1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
20100112242310780_q1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1
20100112272399090_q1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1
20100112303554740_q1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
20100112325032400_q1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
20100112403862880_q1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
20100112422009230_q1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
20100112431837544_q1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1
20100112495997816_q1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
20100112511634468_q1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1
20100112554019610_q1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1
20100112565850292_q1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
20100112570372764_q1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
20100112574890320_q1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1
20100113121580480_q1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1
20100113123469780_q1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1
20100113124538976_q1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
20100113150922424_q1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
20100113203750424_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
20100113204991120_q1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
20100113211402190_q1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1
20100113244993790_q1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1
20100113272965970_q1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
20100113302320896_q1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1
20100113302514924_q1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
20100113302758190_q1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1
20100113372682160_q1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
20100113381432344_q1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
20100113382117660_q1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
20100113403690710_q1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
20100113472892036_q1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1
20100113492754664_q1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
20100113515582000_q1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1
20100113542822250_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
20100113551171040_q1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1
20100113554333536_q1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1
20100113555428456_q1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1
20100113562262376_q1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1
20100114004037680_q1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0
20100114023265800_q1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
20100114034475190_q1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
20100114034633828_q1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
20100114065912308_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20100114080717940_q1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
20100114083263764_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
20100114131659468_q1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
20100114142605772_q1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
20100114142799520_q1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
20100114164175070_q1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100114173964540_q1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1
20100114185867776_q1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
20100114214767150_q1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1
20100114220329620_q1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1
20100114224046390_q1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20100114231028224_q1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
20100114264399190_q1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
20100114294155384_q1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1
20100114300905212_q1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
20100114301955270_q1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
20100114355398908_q1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1
20100114500729176_q1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
20100114503519476_q1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
20100114534788464_q1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
20100114561049920_q1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1
20100114570801148_q1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1
20100114574694770_q1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0
20100114590370160_q1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1
20100114590852610_q1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
20100115005512812_q1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1
20100115005598800_q1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1
20100115025014670_q1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
20100115142089760_q1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
20100115143436500_q1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20100115143621824_q1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1
20100115153871670_q1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
20100115195541796_q1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1
20100115211113456_q1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
20100115213518860_q1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1
20100115242252380_q1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1
20100115261547010_q1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1
20100115262106308_q1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1
